name,highway,road_type,lane_count,speed_limit,capacity_vph,fhsz_zone,hazard_degradation,effective_capacity_vph,baseline_demand_vph,vc_ratio,los,connectivity_score,catchment_units,demand_source,catchment_hu,catchment_employees,resident_demand_vph,employee_demand_vph,student_demand_vph,length_meters,lane_count_estimated,speed_estimated,aadt_estimated
Bancroft Way,tertiary,two_lane,2,25,1125.0,moderate_fhsz,0.75,843.75,480.51,0.42712,D,1,281.0,catchment_based,2048,1224,2217.984,1224.0,2237.129644739013,36.51629216997308,False,False,True
Panoramic Way,residential,two_lane,1,25,1125.0,moderate_fhsz,0.75,843.75,480.51,0.42712,D,1,281.0,catchment_based,1627,839,1762.0409999999997,839.0,1940.0064828524226,164.2476189757839,False,False,True
Panoramic Way,residential,two_lane,1,25,1125.0,moderate_fhsz,0.75,843.75,480.51,0.42712,D,1,281.0,catchment_based,1942,874,2103.1859999999997,874.0,1940.0064828524226,149.6941372419451,False,False,True
Panoramic Way,residential,two_lane,1,25,1125.0,moderate_fhsz,0.75,843.75,480.51,0.42712,D,1,281.0,catchment_based,1627,839,1762.0409999999997,839.0,1940.0064828524226,164.2476189757839,False,False,True
College Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5220,2801,5653.259999999999,2801.0,0.0,82.87318305488552,False,False,True
College Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,4269,2154,4623.326999999999,2154.0,0.0,44.169108819040034,False,False,True
Piedmont Avenue,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,4973,2510,5385.758999999999,2510.0,0.0,81.06921729207055,True,False,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,1718.55,0.7638,E,1,1005.0,catchment_based,1275,13031,1380.8249999999998,13031.0,0.0,58.51279637273872,False,True,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,1718.55,0.7638,E,1,1005.0,catchment_based,1275,13031,1380.8249999999998,13031.0,0.0,155.03958783129082,False,True,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,1718.55,0.7638,E,1,1005.0,catchment_based,1275,13031,1380.8249999999998,13031.0,0.0,308.2048472491639,False,True,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,3182.31,1.41436,F,3,1861.0,catchment_based,1275,13031,1380.8249999999998,13031.0,0.0,116.51764232747138,False,True,True
,motorway_link,freeway,1,45,2250.0,non_fhsz,1.0,2250.0,3182.31,1.41436,F,3,1861.0,catchment_based,2799,14066,3031.3169999999996,14066.0,0.0,134.65906492151865,False,True,True
Stannage Avenue,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,28734.84,25.54208,F,35,16804.0,catchment_based,4665,6858,5052.195,6858.0,0.0,65.94396302870265,False,False,True
Stannage Avenue,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,28734.84,25.54208,F,35,16804.0,catchment_based,4665,6858,5052.195,6858.0,0.0,82.8042161259633,False,False,True
Hopkins Street,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,945.6300000000001,0.8405600000000001,E,1,553.0,catchment_based,3195,1354,3460.1849999999995,1354.0,0.0,169.39646594052013,False,False,True
Ordway Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,625.86,0.55632,D,1,366.0,catchment_based,2804,871,3036.7319999999995,871.0,0.0,59.58854703432625,True,False,True
Ordway Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,625.86,0.55632,D,1,366.0,catchment_based,3195,1354,3460.1849999999995,1354.0,0.0,218.64359514324323,True,False,True
Hopkins Street,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,945.6300000000001,0.8405600000000001,E,1,553.0,catchment_based,3195,1354,3460.1849999999995,1354.0,0.0,169.39646594052013,False,False,True
Acton Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,945.6300000000001,0.8405600000000001,E,1,553.0,catchment_based,2834,1228,3069.2219999999993,1228.0,0.0,87.56825042060468,True,False,True
Hopkins Street,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,945.6300000000001,0.8405600000000001,E,1,553.0,catchment_based,2834,1228,3069.2219999999993,1228.0,0.0,44.18040714171858,False,False,True
Acton Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,945.6300000000001,0.8405600000000001,E,1,553.0,catchment_based,3215,1258,3481.845,1258.0,0.0,98.05929141340556,True,False,True
Hopkins Street,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,945.6300000000001,0.8405600000000001,E,1,553.0,catchment_based,2834,1228,3069.2219999999993,1228.0,0.0,44.18040714171858,False,False,True
Gilman Street,secondary,multilane,2,25,3800.0,non_fhsz,1.0,3800.0,27322.379999999997,7.190099999999999,F,33,15978.0,catchment_based,2232,1037,2417.256,1037.0,0.0,74.9356935372056,False,False,True
Hopkins Street,secondary,multilane,2,25,3800.0,non_fhsz,1.0,3800.0,25750.89,6.776549999999999,F,31,15059.0,catchment_based,1767,877,1913.6609999999996,877.0,0.0,56.08911405263729,False,False,True
Hopkins Street,secondary,multilane,2,25,3800.0,non_fhsz,1.0,3800.0,25750.89,6.776549999999999,F,31,15059.0,catchment_based,2270,1041,2458.41,1041.0,0.0,78.64084238031806,False,False,True
Hopkins Street,secondary,multilane,2,25,3800.0,non_fhsz,1.0,3800.0,25750.89,6.776549999999999,F,31,15059.0,catchment_based,1767,877,1913.6609999999996,877.0,0.0,56.08911405263729,False,False,True
Hopkins Street,secondary,multilane,2,25,3800.0,non_fhsz,1.0,3800.0,25750.89,6.776549999999999,F,31,15059.0,catchment_based,2270,1041,2458.41,1041.0,0.0,61.555124065882396,False,False,True
Hopkins Street,secondary,multilane,2,25,3800.0,non_fhsz,1.0,3800.0,25750.89,6.776549999999999,F,31,15059.0,catchment_based,2270,1041,2458.41,1041.0,0.0,26.17570446638244,False,False,True
