name,highway,road_type,lane_count,speed_limit,capacity_vph,fhsz_zone,hazard_degradation,effective_capacity_vph,baseline_demand_vph,vc_ratio,los,connectivity_score,catchment_units,demand_source,catchment_hu,catchment_employees,resident_demand_vph,employee_demand_vph,student_demand_vph,length_meters,lane_count_estimated,speed_estimated,aadt_estimated
Newport Avenue,residential,two_lane,2,25,1125.0,moderate_fhsz,0.75,843.75,1390.5,1.236,F,2,618.0,catchment_based,2356,1723,3357.2999999999997,1723.0,0.0,54.036037746021705,False,True,True
La Costa Avenue,secondary,multilane,2,40,3800.0,non_fhsz,1.0,3800.0,1372.5,0.3611842105263158,C,2,610.0,catchment_based,1345,329,1916.6249999999998,329.0,0.0,93.16772774163805,True,False,True
La Costa Avenue,secondary,multilane,2,40,3800.0,non_fhsz,1.0,3800.0,1372.5,0.3611842105263158,C,2,610.0,catchment_based,1345,329,1916.6249999999998,329.0,0.0,17.585984578703894,True,False,True
La Costa Avenue,secondary,multilane,2,40,3800.0,non_fhsz,1.0,3800.0,1372.5,0.3611842105263158,C,2,610.0,catchment_based,1345,329,1916.6249999999998,329.0,0.0,17.585984578703894,True,False,True
Sheridan Road,residential,two_lane,1,25,1125.0,moderate_fhsz,0.75,843.75,1372.5,1.22,F,2,610.0,catchment_based,1345,329,1916.6249999999998,329.0,0.0,165.4342437773775,True,True,True
La Costa Avenue,secondary,multilane,2,40,3800.0,moderate_fhsz,0.75,2850.0,1372.5,0.3611842105263158,C,2,610.0,catchment_based,1661,1127,2366.9249999999997,1127.0,0.0,133.81674442737292,True,False,True
Santa Fe Drive,secondary,multilane,1,25,1900.0,non_fhsz,1.0,1900.0,1174.5,0.6181578947368421,E,1,522.0,catchment_based,2777,3227,3957.2249999999995,3227.0,0.0,84.57149423035601,False,False,True
Hygeia Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1163.25,1.034,F,1,517.0,catchment_based,1864,703,2656.2,703.0,0.0,84.1895336813824,False,True,True
Capri Road,tertiary,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1424.25,1.266,F,1,633.0,catchment_based,1339,1278,1908.0749999999998,1278.0,0.0,106.03480724314721,True,True,True
Birmingham Drive,secondary,multilane,2,30,3800.0,non_fhsz,1.0,3800.0,4700.25,1.2369078947368422,F,3,2089.0,catchment_based,3292,1948,4691.099999999999,1948.0,0.0,16.082460592901565,False,False,True
Birmingham Drive,secondary,multilane,2,30,3800.0,non_fhsz,1.0,3800.0,4700.25,1.2369078947368422,F,3,2089.0,catchment_based,3292,1948,4691.099999999999,1948.0,0.0,18.999445058556535,False,False,True
La Costa Avenue,secondary,multilane,2,40,3800.0,non_fhsz,1.0,3800.0,1372.5,0.3611842105263158,C,2,610.0,catchment_based,1680,410,2394.0,410.0,0.0,69.30404682173739,True,False,True
La Costa Avenue,secondary,multilane,2,40,3800.0,non_fhsz,1.0,3800.0,1372.5,0.3611842105263158,C,2,610.0,catchment_based,1680,410,2394.0,410.0,0.0,88.91097217280623,True,False,True
La Costa Avenue,secondary,multilane,2,40,3800.0,non_fhsz,1.0,3800.0,1372.5,0.3611842105263158,C,2,610.0,catchment_based,1345,329,1916.6249999999998,329.0,0.0,93.16772774163805,True,False,True
